karmn,Name,vsini_nir_kms-1,err_nir_kms-1,vsini_vis_kms-1,err_vis_kms-1
J00067-075,GJ 1002,0.32,0.02,2,0.1
J01019+541,G 218-020,28.5,1.79,29.25,0.91
J01033+623,V* V388 Cas,12.75,0.82,11.83,0.51
J01048-181,GJ 1028,0.36,0.18,0.32,0.03
J01056+284,GJ 1029,3.91,0.44,1.23,0.53
J01550+379,LSR J0155+3758,1.19,0.42,0.52,0.21
J02022+103,LP 469-067,0.27,0.1,0.7,0.45
J02164+135,LP 469-206,12.98,0.71,13.39,0.71
J02465+164,LP 411-006,2.51,0.64,2,0.1
J02530+168,Teegarden's Star,0.32,0.02,2,0.1
J02560-006,LP 591-156,6.79,0.65,6.33,0.31
J03090+100,GJ 1055,1.26,0.43,0.67,0.44
J03133+047,CD Cet,0.32,0.03,0.32,0.03
J03142+286,LP 299-036,2,0.1,2,0.1
J03230+420,GJ 1059,2.09,0.66,1.11,0.48
J04198+425,LSR J0419+4233,3.9,0.95,5.33,0.95
J04472+206,RX J0447.2+2038,44.99,1.81,46.89,1.25
J05394+406,LSR J0539+4038,6.35,0.78,30.54,13.22
J06024+498,G 192-015,0.88,0.31,0.47,0.19
J06318+414,LP 205-044,49.9,1.98,50.98,1.51
J06594+193,GJ 1093,0.44,0.26,0.65,0.33
J07051-101,2MASS J07051194-1007528,18.5,1.21,17.75,0.52
J07403-174,LP 783-002,0.32,0.04,2,0.1
J08298+267,DX Cnc,10.33,0.87,10.96,0.26
J08413+594,LP 090-018,3.68,0.54,0.76,0.36
J08536-034,LP 666-009,38.02,6.84,37.99,5.1
J09003+218,LP 368-128,13.75,1.1,15.08,0.42
J09033+056,NLTT 20861,9.65,1.54,8.64,0.37
J09449-123,G 161-071,30.02,1.33,30.36,1.12
J10482-113,LP 731-058,2.04,0.74,1.86,0.19
J10564+070,CN Leo,3.06,0.36,2.21,0.52
J10584-107,LP 731-076,3.56,1.13,3.39,0.58
J11055+435,WX UMa,8.51,4.23,8.33,3.01
J11474+667,1RXS J114728.8+664405,7.1,1.96,3.28,0.83
J12189+111,GL Vir,15.56,0.64,15.43,0.41
J13102+477,G 177-025,3.22,0.59,1.59,0.48
J14155+046,GJ 1182,21.32,1.41,1.69,1.02
J14173+454,RX J1417.3+4525,17.66,1.72,16.84,0.92
J14321+081,LP 560-035,8.82,0.55,8.38,0.54
J14578+566,GJ 1187,9.57,0.52,9.13,0.28
J15305+094,NLTT 40406,15.89,0.7,15.82,0.65
J15499+796,LP 022-420,26.9,1.32,26.46,0.77
J16313+408,G 180-060,8.61,0.79,8.07,0.56
J16555-083,VB 8,5.43,0.53,5.61,0.19
J17338+169,1RXS J173353.5+165515,37.22,1.29,41.03,2.74
J18022+642,LP 071-082,12.71,0.96,11.98,0.57
J18027+375,GJ 1223,0.48,0.22,2,0.1
J18165+048,G 140-51,0.9,0.36,0.56,0.15
J18356+329,LSR J1835+3259,35.96,3.98,43.66,3.55
J18482+076,G 141-036,3.53,0.35,3.08,0.14
J19169+051S,V1298 Aql,2.43,1.17,3.63,0.77
J19242+755,GJ 1238,0.5,0.23,0.56,0.18
J19422-207,2MASS J19421282-2045477,9.19,1.23,8.12,0.7
J19573-125,HD 188807 B,2,0.1,3.36,0.75
J20093-012,2MASS J20091824-0113377,6.53,0.95,5.36,0.44
J20260+585,Wolf 1069,0.47,0.15,0.32,0
J20556-140S,GJ 810 B,2.59,0.74,1.04,0.42
J22114+409,1RXS J221124.3+410000,2.36,0.61,1.94,0.65
J23064-050,2MUCD 12171,1.31,0.67,1.34,0.79
J23351-023,GJ 1286,0.43,0.21,0.57,0.24
J23419+441,HH And,0.34,0.13,0.42,0.11
