karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J00051+457,BD+44 4548,< 2,-,2,-,2,-,2,0.2,Rein18,1.61,0.01
J00067-075,GJ 1002,< 2,-,2,-,2.92108260672195,0.0890557002140285,2,0.2,Rein18,0.07,0
J00162+198E,LP 404-062,< 2,-,2,-,2,-,2,0.2,Rein18,0.13,0
J00162+198W,EZ Psc,4,1.6,21.79352291422,0.955579625840987,21.8245989076777,0.964038255751831,4,1.6,Fou18,5.04,0.16
J00183+440,GX And,< 2,-,2,-,2,-,2,0.2,Rein18,0.45,0.01
J00184+440,GQ And,< 2,-,2,-,2,-,2,0.2,Rein18,0.08,0
J00286-066,GJ 1012,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J00389+306,Wolf 1056,< 2,-,2,-,2,-,2,0.2,Rein18,0.42,0
J00403+612,2MASS J00402129+6112490,< 2,-,2,-,2,-,-,-,-,-,-
J00570+450,G 172-030,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J01013+613,GJ 47,< 2,-,2,-,2,-,2,0.2,Rein18,0.54,0.01
J01019+541,G 218-020,29.253086839379,0.909019595046741,29.253086839379,0.909019595046741,29.1687617418379,0.895768995870113,30.6,3.1,Rein18,28.2,0.26
J01025+716,Ross 318,< 2,-,2,-,2,-,2,0.2,Rein18,0.46,0.01
J01026+623,BD+61 195,< 2,-,2,-,2,-,2,0.2,Rein18,1.37,0.01
J01033+623,V* V388 Cas,11.8333127439736,0.50623508941436,11.8333127439736,0.50623508941436,11.8491256611117,0.510904985278165,10.5,1.5,Rein18,12.08,0.39
J01048-181,GJ 1028,< 2,-,2,-,2,-,2,0.2,Rein18,0.05,0
J01056+284,GJ 1029,< 2,-,2,-,2,-,4.1,0.8,Jen09,0.65,0.02
J01066+192,LSPM J0106+1913,< 2,-,2,-,2,-,-,-,,-,-
J01078+128,G 2-21,< 2,-,2,-,2,-,-,-,,-,-
J01125-169,YZ Cet,< 2,-,2,-,2,-,2,0.2,Rein18,0.11,0
J01339-176,LP 768-113,< 2,-,2.64543809810649,0.260952755259576,2.64527929161102,0.262201342453298,2,0.2,Rein18,1.81,0.04
J01352-072,Barta 161 12,50.6563577747638,1.89482349908502,50.6563577747638,1.89482349908502,50.3927445451625,1.92146369422901,59.8,6.9,Rein18,51.96,1.15
J01433+043,GJ 70,< 2,-,2,-,2,-,2,0.2,Rein18,1.38,0.02
J01518+644,G 244-037,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J01550+379,LSR J0155+3758,< 2,-,2,-,2,-,-,-,,-,-
J02002+130,TZ Ari,< 2,-,2,-,2,-,2,0.2,Rein18,4.04,0.08
J02015+637,G 244-047,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J02022+103,LP 469-067,< 2,-,2,-,2,-,4.5,0.45,Jen09,-,-
J02070+496,G 173-037,< 2,-,2,-,2,-,2,0.2,Rein18,2.31,0.03
J02088+494,G 173-039,22.6962736610188,0.626977695312864,22.6962736610188,0.626977695312864,22.6926513541438,0.625140159267362,24.1,2.4,Rein18,28.16,2.12
J02123+035,BD+02 348,< 2,-,2,-,2,-,2,0.2,Rein18,1.38,0.01
J02164+135,LP 469-206,13.3910866312827,0.705105217357615,13.3910866312827,0.705105217357615,13.3872773299396,0.702875829859239,12.4,1.24,Barn14,-,-
J02222+478,BD+47 612,< 2,-,2,-,2,-,2,0.2,Rein18,0.98,0.01
J02336+249,GJ 102,3.21821262794534,0.393975456194786,3.21821262794534,0.393975456194786,3.19357155392575,0.39506342334729,3,1.5,Rein18,3.84,0.06
J02358+202,BD+19 381,< 2,-,2,-,2,-,2,0.2,Rein18,0.77,0.01
J02362+068,BX Cet,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J02442+255,VX Ari,< 2,-,2,-,2,-,2,0.2,Rein18,0.46,0.01
J02465+164,LP 411-006,< 2,-,2,-,2,-,6.2,0.14,Jen09,-,-
J02486+621,2MASS J02483695+6211228,< 2,-,2,-,2,-,-,-,-,-,-
J02489-145E,PM J02489-1432E,< 2,-,2,-,2,-,-,-,,-,-
J02489-145W,PM J02489-1432W,< 2,-,2,-,2,-,-,-,,-,-
J02519+224,RBS 365,28.0316818910915,0.467598217368347,28.0316818910915,0.467598217368347,27.9846088239109,0.473330131811669,27.2,2.7,Rein18,35.98,0.85
J02530+168,Teegarden's Star,< 2,-,2,-,2.61842781524498,0.0365099702981429,2,0.2,Rein18,0.06,0.01
J02560-006,LP 591-156,6.33160429334896,0.31225958699533,6.33160429334896,0.31225958699533,6.34737664622179,0.313179158814726,-,-,,8.37,0.28
J02565+554W,Ross 364,< 2,-,2,-,2,-,0.3,0.03,Rein18,0.6,0
J02573+765,G 245-61,< 2,-,2,-,2,-,0.2,0.02,,-,-
J03090+100,GJ 1055,< 2,-,2,-,2,-,4.7,0.7,Jen09,-,-
J03133+047,CD Cet,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.07,0
J03142+286,LP 299-036,< 2,-,2,-,2,-,-,-,,-,-
J03181+382,HD 275122,< 2,-,2,-,2,-,1.4,0.14,Rein18,0.37,0
J03213+799,GJ 133,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.88,0.01
J03217-066,G 77-046,< 2,-,2,-,2,-,1.4,0.14,Rein18,1.09,0.01
J03230+420,GJ 1059,< 2,-,2,-,2,-,-,-,,-,-
J03463+262,HD 23453,< 2,-,2,-,2,-,1.7,4,Rein18,1.77,0.01
J03473+086,LTT 11262,< 2,-,2,-,2,-,-,-,,0.14,0
J03473-019,G 80-021,6.27512025731271,0.390230049895904,6.27512025731271,0.390230049895904,6.3040112155124,0.382597416305286,6,1.5,Rein18,6.45,0.5
J03531+625,Ross 567,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J04153-076,omi02 Eri C,2.33412076402088,0.539157244819851,2.33412076402088,0.539157244819851,2.33105527261552,0.542026694944526,2.2,1.5,Rein18,1.56,0.06
J04167-120,LP 714-47,< 2,-,2,-,2,-,2.2,0.22,,0.89,0.01
J04198+425,LSR J0419+4233,5.32605311711225,0.948050831151409,5.32605311711225,0.948050831151409,5.32544890945741,0.95872473154838,3.6,2.3,Rein18,5.71,0.57
J04225+105,LSPM J0422+1031,< 2,-,2,-,2,-,0.2,0.02,Rein18,3.86,0.06
J04290+219,BD+21 652,< 2,-,2,-,2,-,1.3,1.5,Rein18,1.33,0.02
J04311+589,G 175-34,< 2,-,2,-,2,-,0.2,0.02,Del98,0.16,0
J04343+430,PM J04343+4302,< 2,-,2,-,2,-,0.2,0.02,,-,-
J04376+528,BD+52 857,< 2,-,2.64762578331853,0.133694919079565,2.64830598176036,0.133985699947591,0.7,1.5,Rein18,1.79,0.02
J04376-110,BD-11 916,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J04406-128,TOI-2457,3.78129037312697,0.610119902629542,3.78129037312697,0.610119902629542,3.75979125898304,0.635937371122423,-,-,-,-,-
J04429+189,HD 285968,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.57,0.01
J04429+214,2MASS J04425586+2128230,< 2,-,2,-,2,-,0.5,0.05,Rein18,0.39,0.01
